Date,Envelope,Name,Notes,Amount,Account,Status
07/01/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
07/01/2024,Groceries,CALGARY CO-OP #6194,,-106.62,Visa,Cleared
07/01/2024,Dining,TIM HORTONS #2386,,-17.12,Chequing,Cleared
07/02/2024,Gas,SHELL #3036 CALGARY AB,,-56.49,Visa,Cleared
07/03/2024,Subscriptions,NETFLIX.COM,,-18.99,Chequing,Cleared
07/04/2024,Gas,PETRO-CANADA 9094,,-73.99,Visa,Cleared
07/08/2024,Dining,SKIPTHEDISHES 8326,,-34.97,Chequing,Cleared
07/08/2024,Household,PUROLATOR 1577,,-29.12,Visa,Cleared
07/09/2024,Dining,SQ *BLUE DOOR COFFEE,,-20.30,Visa,Cleared
07/11/2024,Groceries,SAFEWAY #6845,,-67.28,Chequing,Cleared
07/11/2024,Dining,TIM HORTONS #6527,,-14.26,Visa,Cleared
07/11/2024,Household,SHOPPERS DRUG MART #5862,,-28.78,Visa,Cleared
07/11/2024,Fun,MEC CALGARY,,-141.50,Visa,Cleared
07/12/2024,Utilities,CITY POWER 6666,,-127.41,Chequing,Cleared
07/14/2024,Groceries,SAFEWAY #3530,,-169.41,Chequing,Cleared
07/15/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
07/15/2024,Household,AMZN Mktp CA*SPR4BK,,-128.05,Chequing,Cleared
07/16/2024,Groceries,CALGARY CO-OP #7914,,-72.57,Visa,Cleared
07/16/2024,Household,SHOPPERS DRUG MART #4757,,-25.60,Chequing,Cleared
07/17/2024,Subscriptions,SPOTIFY P9947,,-11.99,Chequing,Cleared
07/17/2024,Fitness,GOODLIFE FITNESS 5033,,-49.99,Chequing,Cleared
07/17/2024,Clothing,SPORT CHEK #3085,,-75.11,Visa,Cleared
07/19/2024,Gas,SHELL #5677 CALGARY AB,,-81.60,Visa,Cleared
07/19/2024,Vehicle Repairs,CANADIAN TIRE #6357,,-58.66,Chequing,Cleared
07/20/2024,Household,AMZN Mktp CA*XE7DBM,,-57.12,Chequing,Cleared
07/22/2024,Groceries,COSTCO WHOLESALE #8681,,-282.56,Chequing,Cleared
07/22/2024,Phone,TELUS MOBILITY 5768,,-85.00,Visa,Cleared
07/22/2024,Fun,CINEPLEX ODEON #5571,,-22.71,Chequing,Cleared
07/22/2024,Household,HOME DEPOT #3594,,-219.52,Visa,Cleared
07/23/2024,Gas,PETRO-CANADA 7041,,-54.48,Chequing,Cleared
07/24/2024,Gas,SHELL #7204 CALGARY AB,,-65.84,Chequing,Cleared
07/24/2024,Groceries,SAFEWAY #9667,,-164.65,Chequing,Cleared
07/24/2024,Water,EPCOR WATER & SEWER,,-88.19,Chequing,Cleared
07/26/2024,Dining,TIM HORTONS #4850,,-16.85,Chequing,Cleared
07/26/2024,Dining,SQ *BLUE DOOR COFFEE,,-15.54,Chequing,Cleared
07/26/2024,Household,LONDON DRUGS 6361,,-22.39,Visa,Cleared
07/26/2024,Household,AMZN Mktp CA*EHL3C7,,-73.14,Visa,Cleared
07/27/2024,Dining,TIM HORTONS #3608,,-4.25,Chequing,Cleared
07/30/2024,Vehicle Repairs,CITY OF CALGARY PARKING,,-16.41,Visa,Cleared
08/01/2024,Income,PAYROLL DEPOSIT - NORTHWIND,,4200.00,Chequing,Cleared
08/01/2024,Dining,TIM HORTONS #8382,,-11.91,Chequing,Cleared
